"id","name","gender","age","type","country","genres","spotifyId","popularity","followers"
"3947919","Calogero","male","49","person","FR","['chanson', 'francoton', 'french pop', 'french rock', 'nouvelle chanson francaise']","5Nq9MbzweBc5oL4WzsECx4",56,638907
"3423695","Young Latino","male","47","person","BR","[]","46LYOG1uT13ErylBBXUYkh",20,707
"684640","J. Karjalainen","male","63","person","FI","['classic finnish rock', 'finnish indie', 'finnish pop', 'suomi rock']","03WFRA66hsZpJ5rqylE0vQ",39,34497
"4824730","Olivia Newton-John","female","71","person","AU","['adult standards', 'australian dance', 'bubblegum pop', 'disco', 'mellow gold', 'new wave pop', 'soft rock']","4BoRxUdrcgbbq1rxJvvhg9",70,1215048
"3424590","Enzo Avitabile","male","65","person","IT","['balearic', 'canzone napoletana', 'musica sarda']","3Q4phRnS8Pcq8s5FRA1aIO",41,41656
"2815206","Kowalsky Meg A Vega","mixed","20","group","HU","['classic hungarian pop', 'hungarian pop', 'hungarian rock']","5cllnH1YfZ7XL3mvvgWcGm",43,152106
"5668922","DJ Jazzy Jeff & The Fresh Prince","mixed","35","group","US","['gangster rap', 'hip hop', 'old school hip hop', 'philly rap', 'rap']","1mG23iQeR29Ojhq89D5gbh",53,334587
"2978271","Oceans","mixed","15","group","","['german metalcore']","7x3hXpGkI296eBLTbhbND0",40,20834
"3170119","Tiki Taane","male","43","person","NZ","['nz reggae', 'polynesian pop']","31ACkQCBFwLQGxN8MwfSrO",41,53966
"5875248","Toby Keith","male","59","person","US","['contemporary country', 'country', 'country road', 'oklahoma country']","2bA6fzP0lMAQ4kz6CF61w8",68,1820804
"4220789","Klumben","male","32","person","DK","['danish hip hop']","6l2TcYHKMr6XQn5hxfD48E",41,59674
"1184204","Şebnem Ferah","female","48","person","TR","['turkish pop', 'turkish rock']","74xBVPWYoSf5pvo5IkePRO",58,1232234
"5044700","Antony & Cleopatra","mixed","6","group","","['australian electropop']","14DGJVYmuwwsdHmW8a02eM",39,4908
"1187440","Malena Ernman","female","49","person","SE","['classic swedish pop', 'operatic pop']","0muluUHym4N0wB62sD0MPo",33,16255
"3915326","A Si","female","31","person","CN","['chinese indie', 'chinese minyao', 'taiwan indie']","4yamiVzQPYBb02ceSu0jaI",45,39656
"5710006","Charlie Brown Jr.","mixed","28","group","BR","['brazilian rock', 'hard rock brasileiro', 'rock alternativo brasileiro', 'rock nacional brasileiro']","1on7ZQ2pvgeQF4vmIA09x5",72,5766389
"866753","Gavin DeGraw","male","43","person","US","['acoustic pop', 'neo mellow', 'pop', 'pop rock']","5DYAABs8rkY9VhwtENoQCz",62,1217801
"2476850","Turmion Kätilöt","mixed","17","group","","['cyber metal', 'finnish metal', 'suomi rock']","76t3VPzCEYAlrZhVAY7yjg",48,70125
"1480984","Nightwish","mixed","24","group","FI","['finnish metal', 'finnish power metal', 'gothic metal', 'gothic symphonic metal', 'opera metal', 'power metal', 'symphonic metal']","2NPduAUeLVsfIauhRwuft1",64,1844664
"637930","馬念先","male","47","person","TW","['chinese indie', 'taiwan pop']","40LaLWRnuCBSSdpwsC42jb",39,20828
"5816802","Joe Arroyo","male","55","person","CO","['latin', 'salsa', 'salsa colombiana', 'tropical']","7BFnoFhJjLWcsqmN3Hizqg",59,606790
"577293","Fotty Seven","male","41","person","CH","['desi hip hop']","7n5rLZ6NonT1BXW1fQmbuA",50,213345
"92136","Paola Turci","female","55","person","IT","['classic italian pop', 'italian adult pop']","7dNlfF1yoOCoclHmZuUemi",40,97278
"1728871","Peven Everett","male","45","person","US","['broken beat', 'deep house', 'neo soul', 'soulful house']","0v2oB2xMS64U3lcU5DFuCY",46,22310
"4418856","Rajaton","mixed","23","group","FI","['finnish pop']","3ZfVp9mvvJt4Zly7lxgcaR",26,10343
"621462","Amine","male","38","person","MA","[]","3OpXEYnkpqSBaJjFWGeJxy",42,36209
"4049091","Karl-Erik Taukar","male","31","person","EE","['estonian pop', 'estonian rock']","0IBo1QzwnBeD4N8WS5aD5X",31,17806
"6127915","Cœur De Pirate","female","30","person","CA","['chanson', 'french pop', 'nouvelle chanson francaise']","2eRNMtoi82UZUuaL6naDjA",57,451881
"5926007","Mørland","male","39","person","NO","['eurovision']","5yHx5IUWn7p8cOjFQTdknJ",28,3058
"5178630","Birdy Nam Nam","mixed","19","group","FR","['electro house', 'electronica', 'filter house', 'turntablism']","4e7qJTThm5uI3CplqZObfT",50,120240
"82402","Ruelle","female","34","person","","['electropop', 'indie poptimism', 'metropopolis', 'modern alternative rock', 'pop']","5tIkXJTex4JY7cv9mmgAZx",62,522236
"1934750","Jason Anousheh","male","38","person","DE","[]","7fyvTBltl99vVvX2qDQjwC",29,1005
"1957694","Indigo la End","mixed","10","group","JP","['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese indie pop']","26ZBeXl5Gqr3TAv2itmyCU",53,279959
"2567003","Favorite","male","34","person","DE","['deep german hip hop', 'german hip hop', 'german underground rap']","6iHHxsJtBAUzLXbqUr0bbK",43,98578
"3437819","Djavan","male","71","person","BR","['bossa nova', 'mpb', 'musica alagoana']","5rrmaoBXZ7Jcs4Qb77j0YA",64,2250633
"5913764","Hanson","mixed","28","group","US","['boy band', 'dance pop', 'neo mellow', 'pop rock']","0SdiiPkr02EUdekHZJkt58",60,418276
"4719013","Stephy Tang","female","36","person","HK","['c-pop', 'cantopop']","4ujntV2BGRi7X4UbCmTFX0",42,36758
"5960061","Debrah Scarlett","female","27","person","CH","[]","7CMX3TxcoCvI5tRPnXO4Ig",26,1933
"1355400","High Contrast","male","40","person","GB","['drum and bass', 'liquid funk', 'uk dance', 'uk dnb']","0bxHci3JIhhKA53n8rH3tT",54,186438
"1232426","William Stridh","male","22","person","SE","[]","5xDae0zB3YLr6lYvlMdpbR",31,1578
"3325855","Blur","mixed","30","group","GB","['alternative rock', 'britpop', 'dance rock', 'madchester', 'modern rock', 'permanent wave', 'pop rock', 'rock']","7MhMgCo0Bl0Kukl93PZbYS",67,2602017
"3326660","Magnus Carlsson","male","46","person","SE","['classic swedish pop', 'europop', 'swedish pop']","12VIfmT1N5FGyCuuXGKuYB",35,29343
"3448717","C4 Pedro","male","37","person","","['kizomba', 'musica angolana', 'portuguese pop']","5IccCciXwIjKPROLcD1Qao",46,159345
